,SensibilityCoeficientsVariables,SensibilityCoeficients,Evaluation,Contributions
0,P,lambda/(2*L_0*(T - T_0)),8.31250000000000e-8,2.30325520833333e-15
1,lambda,P/(2*L_0*(T - T_0)),19.5312500000000,2.24927266438802e-26
2,L_0,-P*lambda/(2*L_0**2*(T - T_0)),-0.000129882812500000,1.40579541524251e-17
3,T,-P*lambda/(2*L_0*(T - T_0)**2),-2.59765625000000e-7,5.62318166097005e-15
4,T_0,P*lambda/(2*L_0*(T - T_0)**2),2.59765625000000e-7,5.62318166097005e-15
5,"P, P",0,0,0
6,"P, lambda",0.125/(L_0**2*(T - T_0)**2),0.0122070312500000,2.39922417534722e-31
7,"P, L_0",0.625*lambda**2/(L_0**4*(T - T_0)**2),2.69912719726563e-12,7.49757554796008e-22
8,"P, T",0.625*lambda**2/(L_0**2*(T - T_0)**4),1.07965087890625e-17,2.99903021918403e-19
9,"P, T_0",0.625*lambda**2/(L_0**2*(T - T_0)**4),1.07965087890625e-17,2.99903021918403e-19
10,"lambda, P",0.125/(L_0**2*(T - T_0)**2),0.0122070312500000,2.39922417534722e-31
11,"lambda, lambda",0,0,0
12,"lambda, L_0",0.625*P**2/(L_0**4*(T - T_0)**2),149011.611938477,7.32185112105476e-33
13,"lambda, T",0.625*P**2/(L_0**2*(T - T_0)**4),0.596046447753906,2.92874044842190e-30
14,"lambda, T_0",0.625*P**2/(L_0**2*(T - T_0)**4),0.596046447753906,2.92874044842190e-30
15,"L_0, P",0.125*lambda**2/(L_0**4*(T - T_0)**2),5.39825439453125e-13,1.49951510959201e-22
16,"L_0, lambda",0.125*P**2/(L_0**4*(T - T_0)**2),29802.3223876953,1.46437022421095e-33
17,"L_0, L_0",2.0*P**2*lambda**2/(L_0**6*(T - T_0)**2),2.10869312286377e-5,1.46437022421095e-23
18,"L_0, T",0.625*P**2*lambda**2/(L_0**4*(T - T_0)**4),2.63586640357971e-11,1.83046278026369e-21
19,"L_0, T_0",0.625*P**2*lambda**2/(L_0**4*(T - T_0)**4),2.63586640357971e-11,1.83046278026369e-21
20,"T, P",0.125*lambda**2/(L_0**2*(T - T_0)**4),2.15930175781250e-18,5.99806043836806e-20
21,"T, lambda",0.125*P**2/(L_0**2*(T - T_0)**4),0.119209289550781,5.85748089684381e-31
22,"T, L_0",0.625*P**2*lambda**2/(L_0**4*(T - T_0)**4),2.63586640357971e-11,1.83046278026369e-21
23,"T, T",2.0*P**2*lambda**2/(L_0**2*(T - T_0)**6),3.37390899658203e-16,2.34299235873752e-18
24,"T, T_0",2.0*P**2*lambda**2/(L_0**2*(T - T_0)**6),3.37390899658203e-16,2.34299235873752e-18
25,"T_0, P",0.125*lambda**2/(L_0**2*(T - T_0)**4),2.15930175781250e-18,5.99806043836806e-20
26,"T_0, lambda",0.125*P**2/(L_0**2*(T - T_0)**4),0.119209289550781,5.85748089684381e-31
27,"T_0, L_0",0.625*P**2*lambda**2/(L_0**4*(T - T_0)**4),2.63586640357971e-11,1.83046278026369e-21
28,"T_0, T",2.0*P**2*lambda**2/(L_0**2*(T - T_0)**6),3.37390899658203e-16,2.34299235873752e-18
29,"T_0, T_0",2.0*P**2*lambda**2/(L_0**2*(T - T_0)**6),3.37390899658203e-16,2.34299235873752e-18
